folder,dta,pos,variable,label,col_type
21y,bcs21yearsample.dta,113,vbc5b,WHERE - CONSTRUCTING/BUILDING,dbl+lbl
21y,bcs21yearsample.dta,114,vbc5c,CHANGE - CONSTRUCTING/BUILDING,dbl+lbl
21y,bcs21yearsample.dta,115,vbc6a,GOOD - TYPING/COMPUTER KEYBOARD,dbl+lbl
21y,bcs21yearsample.dta,116,vbc6b,WHERE - TYPING/COMPUTER KEYBOARD,dbl+lbl
21y,bcs21yearsample.dta,117,vbc6c,CHANGE - TYPING/COMPUTER KEYBOARD,dbl+lbl
21y,bcs21yearsample.dta,118,vbc7a,GOOD - COMPUTER TO SOLVE PROBS/INFO,dbl+lbl
21y,bcs21yearsample.dta,119,vbc7b,WHERE - COMPUTER TO SOLVE PROBS/INFO,dbl+lbl
21y,bcs21yearsample.dta,120,vbc7c,CHANGE - COMPUTER TO SOLVE PROBS/INFO,dbl+lbl
21y,bcs21yearsample.dta,121,vbc8a,GOOD - TAKING CARE OF PEOPLE,dbl+lbl
21y,bcs21yearsample.dta,122,vbc8b,WHERE - TAKING CARE OF PEOPLE,dbl+lbl
21y,bcs21yearsample.dta,123,vbc8c,CHANGE - TAKING CARE OF PEOPLE,dbl+lbl
21y,bcs21yearsample.dta,124,vbc9a,GOOD - GIVING ADVICE,dbl+lbl
21y,bcs21yearsample.dta,125,vbc9b,WHERE - GIVING ADVICE,dbl+lbl
21y,bcs21yearsample.dta,126,vbc9c,CHANGE - GIVING ADVICE,dbl+lbl
21y,bcs21yearsample.dta,127,vbc10a,GOOD - TEACHING CHILDREN,dbl+lbl
21y,bcs21yearsample.dta,128,vbc10b,WHERE - TEACHING CHILDREN,dbl+lbl
21y,bcs21yearsample.dta,129,vbc10c,CHANGE - TEACHING CHILDREN,dbl+lbl
21y,bcs21yearsample.dta,130,vbc11a,GOOD - SUPERVISING OTHERS,dbl+lbl
21y,bcs21yearsample.dta,131,vbc11b,WHERE - SUPERVISING OTHERS,dbl+lbl
21y,bcs21yearsample.dta,132,vbc11c,CHANGE - SUPERVISING OTHERS,dbl+lbl
21y,bcs21yearsample.dta,133,vbc12a,GOOD - MATHS,dbl+lbl
21y,bcs21yearsample.dta,134,vbc12b,WHERE - MATHS,dbl+lbl
21y,bcs21yearsample.dta,135,vbc12c,CHANGE - MATHS,dbl+lbl
21y,bcs21yearsample.dta,136,vbc13a,GOOD - SELLING,dbl+lbl
21y,bcs21yearsample.dta,137,vbc13b,WHERE - SELLING,dbl+lbl
21y,bcs21yearsample.dta,138,vbc13c,CHANGE - SELLING,dbl+lbl
21y,bcs21yearsample.dta,139,vbc14a,GOOD - FINANCE & ACCOUNTS,dbl+lbl
21y,bcs21yearsample.dta,140,vbc14b,WHERE - FINANCE & ACCOUNTS,dbl+lbl
21y,bcs21yearsample.dta,141,vbc14c,CHANGE - FINANCE & ACCOUNTS,dbl+lbl
21y,bcs21yearsample.dta,142,vbc15a,GOOD - RUNNING A FIRM,dbl+lbl
21y,bcs21yearsample.dta,143,vbc15b,WHERE - RUNNING A FIRM,dbl+lbl
21y,bcs21yearsample.dta,144,vbc15c,CHANGE - RUNNING A FIRM,dbl+lbl
21y,bcs21yearsample.dta,145,vbc16a,GOOD - READING,dbl+lbl
21y,bcs21yearsample.dta,146,vbc16b,WHERE - READING,dbl+lbl
21y,bcs21yearsample.dta,147,vbc16c,CHANGE - READING,dbl+lbl
21y,bcs21yearsample.dta,148,vbc17a,GOOD - MAKING DECISIONS,dbl+lbl
21y,bcs21yearsample.dta,149,vbc17b,WHERE - MAKING DECISIONS,dbl+lbl
21y,bcs21yearsample.dta,150,vbc17c,CHANGE - MAKING DECISIONS,dbl+lbl
21y,bcs21yearsample.dta,151,vbd1,GETTING ON WITH OTHER PEOPLE,dbl+lbl
21y,bcs21yearsample.dta,152,vbd2,MY TRUST IN PEOPLE,dbl+lbl
21y,bcs21yearsample.dta,153,vbd3,ARGUMENTS WITH PEOPLE,dbl+lbl
21y,bcs21yearsample.dta,154,vbd4,GETTING WHAT I WANT,dbl+lbl
21y,bcs21yearsample.dta,155,vbd5,CONTROL OVER MY LIFE,dbl+lbl
21y,bcs21yearsample.dta,156,vbd6,HOW I RUN MY LIFE,dbl+lbl
21y,bcs21yearsample.dta,157,vbd7,SATISFACTION WITH LIFE SO FAR,dbl+lbl
21y,bcs21yearsample.dta,158,vbd8,SATISFACTION WITH LIFE 5 YEARS AGO,dbl+lbl
21y,bcs21yearsample.dta,159,vbd9,SATISFACTION WITH LIFE IN 5 YEARS TIME,dbl+lbl
21y,bcs21yearsample.dta,160,vbe1,BACK-ACHE,dbl+lbl
21y,bcs21yearsample.dta,161,vbe2,TIREDNESS,dbl+lbl
21y,bcs21yearsample.dta,162,vbe3,DEPRESSION,dbl+lbl
21y,bcs21yearsample.dta,163,vbe4,HEADACHES,dbl+lbl
21y,bcs21yearsample.dta,164,vbe5,WORRY ABOUT THINGS,dbl+lbl
21y,bcs21yearsample.dta,165,vbe6,DIFFICULTY FALLING ASLEEP,dbl+lbl
21y,bcs21yearsample.dta,166,vbe7,MORNING WAKEFULNESS,dbl+lbl
21y,bcs21yearsample.dta,167,vbe8,WORRY ABOUT HEALTH,dbl+lbl
21y,bcs21yearsample.dta,168,vbe9,VIOLENT RAGE,dbl+lbl
21y,bcs21yearsample.dta,169,vbe10,PEOPLE ANNOY YOU,dbl+lbl
21y,bcs21yearsample.dta,170,vbe11,TWITCHING FACE OR SHOULDERS,dbl+lbl
21y,bcs21yearsample.dta,171,vbe12,SCARED FOR NO REASON,dbl+lbl
21y,bcs21yearsample.dta,172,vbe13,SCARED TO BE ALONE,dbl+lbl
21y,bcs21yearsample.dta,173,vbe14,EASILY UPSET,dbl+lbl
21y,bcs21yearsample.dta,174,vbe15,FRIGHTENED OF GOING OUT ALONE,dbl+lbl
21y,bcs21yearsample.dta,175,vbe16,KEYED UP OR JITTERY,dbl+lbl
21y,bcs21yearsample.dta,176,vbe17,INDIGESTION,dbl+lbl
21y,bcs21yearsample.dta,177,vbe18,UPSET STOMACH,dbl+lbl
21y,bcs21yearsample.dta,178,vbe19,POOR APPETITE,dbl+lbl
21y,bcs21yearsample.dta,179,vbe20,LITTLE THINGS GET ON NERVES,dbl+lbl
21y,bcs21yearsample.dta,180,vbe21,HEART RACE LIKE MAD,dbl+lbl
21y,bcs21yearsample.dta,181,vbe22,PAINS IN EYES,dbl+lbl
21y,bcs21yearsample.dta,182,vbe23,RHEUMATISM OR FIBROSIS,dbl+lbl
21y,bcs21yearsample.dta,183,vbe24,NERVOUS BREAKDOWN,dbl+lbl
21y,bcs21yearsample.dta,184,vc1,CURRENT EMPLOYMENT STATUS,dbl+lbl
21y,bcs21yearsample.dta,185,vctime1,HOUR INTERVIEW STARTED,dbl+lbl
21y,bcs21yearsample.dta,186,vctime2,MINUTE INTERVIEW STARTED,dbl+lbl
21y,bcs21yearsample.dta,187,vc2a1a,JOB 1 START MONTH,dbl
21y,bcs21yearsample.dta,188,vc2a1b,JOB 1 START YEAR,dbl+lbl
21y,bcs21yearsample.dta,189,vc2a1c,JOB 1 END MONTH,dbl+lbl
21y,bcs21yearsample.dta,190,vc2a1d,JOB 1 END YEAR,dbl
21y,bcs21yearsample.dta,191,vc2b1,JOB 1 REASON LEFT,dbl+lbl
21y,bcs21yearsample.dta,192,vc2c1,JOB 1 FULL OR PART TIME,dbl+lbl
21y,bcs21yearsample.dta,193,vc2a2a,JOB 2 START MONTH,dbl
21y,bcs21yearsample.dta,194,vc2a2b,JOB 2 START YEAR,dbl
21y,bcs21yearsample.dta,195,vc2a2c,JOB 2 END MONTH,dbl+lbl
21y,bcs21yearsample.dta,196,vc2a2d,JOB 2 END YEAR,dbl+lbl
21y,bcs21yearsample.dta,197,vc2b2,JOB 2 REASON LEFT,dbl+lbl
21y,bcs21yearsample.dta,198,vc2c2,JOB 2 FULL OR PART TIME,dbl+lbl
21y,bcs21yearsample.dta,199,vc2a3a,JOB 3 START MONTH,dbl
21y,bcs21yearsample.dta,200,vc2a3b,JOB 3 START YEAR,dbl
21y,bcs21yearsample.dta,201,vc2a3c,JOB 3 END MONTH,dbl+lbl
21y,bcs21yearsample.dta,202,vc2a3d,JOB 3 END YEAR,dbl
21y,bcs21yearsample.dta,203,vc2b3,JOB 3 REASON LEFT,dbl+lbl
21y,bcs21yearsample.dta,204,vc2c3,JOB 3 FULL OR PART TIME,dbl+lbl
21y,bcs21yearsample.dta,205,vc2a4a,JOB 4 START MONTH,dbl
21y,bcs21yearsample.dta,206,vc2a4b,JOB 4 START YEAR,dbl+lbl
21y,bcs21yearsample.dta,207,vc2a4c,JOB 4 END MONTH,dbl
21y,bcs21yearsample.dta,208,vc2a4d,JOB 4 END YEAR,dbl
21y,bcs21yearsample.dta,209,vc2b4,JOB 4 REASON LEFT,dbl+lbl
21y,bcs21yearsample.dta,210,vc2c4,JOB 4 FULL OR PART TIME,dbl+lbl
21y,bcs21yearsample.dta,211,vc2a5a,JOB 5 START MONTH,dbl
21y,bcs21yearsample.dta,212,vc2a5b,JOB 5 START YEAR,dbl
21y,bcs21yearsample.dta,213,vc2a5c,JOB 5 END MONTH,dbl
21y,bcs21yearsample.dta,214,vc2a5d,JOB 5 END YEAR,dbl
21y,bcs21yearsample.dta,215,vc2b5,JOB 5 REASON LEFT,dbl+lbl
21y,bcs21yearsample.dta,216,vc2c5,JOB 5 FULL OR PART TIME,dbl+lbl
21y,bcs21yearsample.dta,217,vc2a6a,JOB 6 START MONTH,dbl
21y,bcs21yearsample.dta,218,vc2a6b,JOB 6 START YEAR,dbl
21y,bcs21yearsample.dta,219,vc2a6c,JOB 6 END MONTH,dbl
21y,bcs21yearsample.dta,220,vc2a6d,JOB 6 END YEAR,dbl
21y,bcs21yearsample.dta,221,vc2b6,JOB 6 REASON LEFT,dbl+lbl
21y,bcs21yearsample.dta,222,vc2c6,JOB 6 FULL OR PART TIME,dbl+lbl
21y,bcs21yearsample.dta,223,vc2a7a,JOB 7 START MONTH,dbl
21y,bcs21yearsample.dta,224,vc2a7b,JOB 7 START YEAR,dbl
21y,bcs21yearsample.dta,225,vc2a7c,JOB 7 END MONTH,dbl
21y,bcs21yearsample.dta,226,vc2a7d,JOB 7 END YEAR,dbl
21y,bcs21yearsample.dta,227,vc2b7,JOB 7 REASON LEFT,dbl+lbl
21y,bcs21yearsample.dta,228,vc2c7,JOB 7 FULL OR PART TIME,dbl+lbl
21y,bcs21yearsample.dta,229,vc2a8a,JOB 8 START MONTH,dbl
21y,bcs21yearsample.dta,230,vc2a8b,JOB 8 START YEAR,dbl
21y,bcs21yearsample.dta,231,vc2a8c,JOB 8 END MONTH,dbl
21y,bcs21yearsample.dta,232,vc2a8d,JOB 8 END YEAR,dbl
21y,bcs21yearsample.dta,233,vc2b8,JOB 8 REASON LEFT,dbl+lbl
21y,bcs21yearsample.dta,234,vc2c8,JOB 8 FULL OR PART TIME,dbl+lbl
21y,bcs21yearsample.dta,235,vc2a9a,JOB 9 START MONTH,dbl
21y,bcs21yearsample.dta,236,vc2a9b,JOB 9 START YEAR,dbl
21y,bcs21yearsample.dta,237,vc2a9c,JOB 9 END MONTH,dbl
21y,bcs21yearsample.dta,238,vc2a9d,JOB 9 END YEAR,dbl
21y,bcs21yearsample.dta,239,vc2b9,JOB 9 REASON LEFT,dbl+lbl
21y,bcs21yearsample.dta,240,vc2c9,JOB 9 FULL OR PART TIME,dbl+lbl
21y,bcs21yearsample.dta,241,vc2a10a,JOB 10 START MONTH,dbl
21y,bcs21yearsample.dta,242,vc2a10b,JOB 10 START YEAR,dbl
21y,bcs21yearsample.dta,243,vc2a10c,JOB 10 END MONTH,dbl
21y,bcs21yearsample.dta,244,vc2a10d,JOB 10 END YEAR,dbl
21y,bcs21yearsample.dta,245,vc2b10,JOB 10 REASON LEFT,dbl+lbl
21y,bcs21yearsample.dta,246,vc2c10,JOB 10 FULL OR PART TIME,dbl+lbl
21y,bcs21yearsample.dta,247,vc2a11a,JOB 11 START MONTH,dbl
21y,bcs21yearsample.dta,248,vc2a11b,JOB 11 START YEAR,dbl
21y,bcs21yearsample.dta,249,vc2a11c,JOB 11 END MONTH,dbl
21y,bcs21yearsample.dta,250,vc2a11d,JOB 11 END YEAR,dbl
21y,bcs21yearsample.dta,251,vc2b11,JOB 11 REASON LEFT,dbl+lbl
21y,bcs21yearsample.dta,252,vc2c11,JOB 11 FULL OR PART TIME,dbl+lbl
21y,bcs21yearsample.dta,253,vc2a12a,JOB 12 START MONTH,dbl
21y,bcs21yearsample.dta,254,vc2a12b,JOB 12 START YEAR,dbl
21y,bcs21yearsample.dta,255,vc2a12c,JOB 12 END MONTH,dbl
21y,bcs21yearsample.dta,256,vc2a12d,JOB 12 END YEAR,dbl
21y,bcs21yearsample.dta,257,vc2b12,JOB 12 REASON LEFT,dbl+lbl
21y,bcs21yearsample.dta,258,vc2c12,JOB 12 FULL OR PART TIME,dbl+lbl
21y,bcs21yearsample.dta,259,vc2d,NEVER HAD A JOB,dbl
21y,bcs21yearsample.dta,260,vc3a,NO. CURRENT/MOST RECENT JOBS,dbl
21y,bcs21yearsample.dta,261,vc3aa,NO. JOBS ASKED ABOUT FIRST,dbl
21y,bcs21yearsample.dta,262,vc3ab,NO. JOBS ASKED ABOUT SECOND,dbl
21y,bcs21yearsample.dta,263,vc4a,JOB 1 PROMOTION,dbl+lbl
21y,bcs21yearsample.dta,264,vc4b,JOB 2 PROMOTION,dbl+lbl
21y,bcs21yearsample.dta,265,vc5a,JOB 1 HOW MANY TIMES WERE YOU PROMOTED?,dbl+lbl
21y,bcs21yearsample.dta,266,vc5b,JOB 2 HOW MANY TIMES WERE YOU PROMOTED?,dbl+lbl
21y,bcs21yearsample.dta,267,vc7aa,JOB 1 MINIMUM QUALIFICATIONS REQUIRED,dbl+lbl
21y,bcs21yearsample.dta,268,vc7ab,JOB 2 MINIMUM QUALIFICATIONS REQUIRED,dbl+lbl
21y,bcs21yearsample.dta,269,vc7ba,JOB 1 WHAT ELSE HELPED YOU GET IT,dbl+lbl
21y,bcs21yearsample.dta,270,vc7bb,JOB 2 WHAT ELSE HELPED YOU GET IT,dbl+lbl
21y,bcs21yearsample.dta,271,vc9a,JOB 1 CATEGORY OF EMPLOYMENT,dbl+lbl
21y,bcs21yearsample.dta,272,vc9b,JOB 2 CATEGORY OF EMPLOYMENT,dbl+lbl
21y,bcs21yearsample.dta,273,vc10a,JOB 1 DO/DID YOU EMPLOY OTHERS?,dbl+lbl
21y,bcs21yearsample.dta,274,vc10b,JOB 2 DO/DID YOU EMPLOY OTHERS?,dbl+lbl
21y,bcs21yearsample.dta,275,vc11a,JOB 1 TYPE OF ORGANISATION,dbl+lbl
21y,bcs21yearsample.dta,276,vc11b,JOB 2 TYPE OF ORGANISATION,dbl+lbl
21y,bcs21yearsample.dta,277,vc12a,JOB 1 BRANCH OF LARGER ORGANISATION,dbl+lbl
21y,bcs21yearsample.dta,278,vc12b,JOB 2 BRANCH OF LARGER ORGANISATION,dbl+lbl
21y,bcs21yearsample.dta,279,vc13a,JOB 1 NUMBER OF EMPLOYEES,dbl+lbl
21y,bcs21yearsample.dta,280,vc13b,JOB 2 NUMBER OF EMPLOYEES,dbl+lbl
21y,bcs21yearsample.dta,281,vc14a,JOB 1 MANAGEMENT RESPONSIBILITIES,dbl+lbl
21y,bcs21yearsample.dta,282,vc14b,JOB 2 MANAGEMENT RESPONSIBILITIES,dbl+lbl
21y,bcs21yearsample.dta,283,vc15a,JOB 1 NO. OF PEOPLE YOU MANAGE/SUPERVISE,dbl
21y,bcs21yearsample.dta,284,vc15b,JOB 2 NO. OF PEOPLE YOU MANAGE/SUPERVISE,dbl
21y,bcs21yearsample.dta,285,vc16a,JOB 1 FAMILY FIRM,dbl+lbl
21y,bcs21yearsample.dta,286,vc16b,JOB 2 FAMILY FIRM,dbl+lbl
21y,bcs21yearsample.dta,287,vc17a,JOB 1 REGULAR INCOME,dbl+lbl
21y,bcs21yearsample.dta,288,vc17b,JOB 2 REGULAR INCOME,dbl+lbl
21y,bcs21yearsample.dta,289,vc18a,JOB 1 WAS IT USUAL TAKE HOME PAY,dbl+lbl
21y,bcs21yearsample.dta,290,vc18b,JOB 2 WAS IT USUAL TAKE HOME PAY,dbl+lbl
21y,bcs21yearsample.dta,291,vc19aa,JOB 1 GROSS PAY,dbl+lbl
21y,bcs21yearsample.dta,292,vc19ab,JOB 1 NET PAY,dbl+lbl
21y,bcs21yearsample.dta,293,vc19ba,JOB 2 GROSS PAY,dbl+lbl
21y,bcs21yearsample.dta,294,vc19bb,JOB 2 NET PAY,dbl+lbl
21y,bcs21yearsample.dta,295,vc19ca,JOB 1 GROSS FREQUENCY OF PAY,dbl+lbl
21y,bcs21yearsample.dta,296,vc19cb,JOB 2 GROSS FREQUENCY OF PAY,dbl+lbl
21y,bcs21yearsample.dta,297,vc19da,JOB 1 NET FREQUENCY OF PAY,dbl+lbl
21y,bcs21yearsample.dta,298,vc19db,JOB 2 NET FREQUENCY OF PAY,dbl+lbl
21y,bcs21yearsample.dta,299,vc20aa,JOB 1 SATISFACTION - TAKE HOME PAY,dbl+lbl
21y,bcs21yearsample.dta,300,vc20ba,JOB 1 SATISFACTION - PROSPECTS,dbl+lbl
21y,bcs21yearsample.dta,301,vc20ca,JOB 1 SATISFACTION - WORK FELLOWS,dbl+lbl
21y,bcs21yearsample.dta,302,vc20da,JOB 1 SATISFACTION - INTEREST IN WORK,dbl+lbl
21y,bcs21yearsample.dta,303,vc20ea,JOB 1 SATISFACTION - EVERYTHING,dbl+lbl
21y,bcs21yearsample.dta,304,vc20ab,JOB 2 SATISFACTION - TAKE HOME PAY,dbl+lbl
21y,bcs21yearsample.dta,305,vc20bb,JOB 2 SATISFACTION - PROSPECTS,dbl+lbl
21y,bcs21yearsample.dta,306,vc20cb,JOB 2 SATISFACTION - WORK FELLOWS,dbl+lbl
21y,bcs21yearsample.dta,307,vc20db,JOB 2 SATISFACTION - INTEREST IN WORK,dbl+lbl
21y,bcs21yearsample.dta,308,vc20eb,JOB 2 SATISFACTION - EVERYTHING,dbl+lbl
21y,bcs21yearsample.dta,309,vc21a1a,JOB 1 REASONS - EASY TRAVEL,dbl
21y,bcs21yearsample.dta,310,vc21a2a,JOB 1 REASONS - PROMOTION,dbl
21y,bcs21yearsample.dta,311,vc21a3a,JOB 1 REASONS - CAREER PROSPECTS,dbl
21y,bcs21yearsample.dta,312,vc21a4a,JOB 1 REASONS - WELL PAID,dbl
21y,bcs21yearsample.dta,313,vc21a5a,JOB 1 REASONS - INTERESTING,dbl
21y,bcs21yearsample.dta,314,vc21a6a,JOB 1 REASONS - GOOD CONDITIONS,dbl
21y,bcs21yearsample.dta,315,vc21a7a,JOB 1 REASONS - CRECHE,dbl
21y,bcs21yearsample.dta,316,vc21a8a,JOB 1 REASONS - EASY OPTION,dbl
21y,bcs21yearsample.dta,317,vc21a9a,JOB 1 REASONS - MOVED FOR OTHER REASON,dbl
21y,bcs21yearsample.dta,318,vc21a10a,JOB 1 REASONS - SUITED TO QUALIFICATIONS,dbl
21y,bcs21yearsample.dta,319,vc21a11a,JOB 1 REASONS - GOOD LOCATION,dbl
21y,bcs21yearsample.dta,320,vc21a12a,JOB 1 REASONS - JUST NEEDED JOB,dbl
21y,bcs21yearsample.dta,321,vc21a13a,JOB 1 REASONS - OTHER,dbl
21y,bcs21yearsample.dta,322,vc21a1b,JOB 2 REASONS - EASY TRAVEL,dbl
21y,bcs21yearsample.dta,323,vc21a2b,JOB 2 REASONS - PROMOTION,dbl
21y,bcs21yearsample.dta,324,vc21a3b,JOB 2 REASONS - CAREER PROSPECTS,dbl
21y,bcs21yearsample.dta,325,vc21a4b,JOB 2 REASONS - WELL PAID,dbl
21y,bcs21yearsample.dta,326,vc21a5b,JOB 2 REASONS - INTERESTING,dbl
21y,bcs21yearsample.dta,327,vc21a6b,JOB 2 REASONS - GOOD CONDITIONS,dbl
21y,bcs21yearsample.dta,328,vc21a7b,JOB 2 REASONS - CRECHE,dbl
21y,bcs21yearsample.dta,329,vc21a8b,JOB 2 REASONS - EASY OPTION,dbl
21y,bcs21yearsample.dta,330,vc21a9b,JOB 2 REASONS - MOVED FOR OTHER REASON,dbl
21y,bcs21yearsample.dta,331,vc21a10b,JOB 2 REASONS - SUITED TO QUALIFICATIONS,dbl
21y,bcs21yearsample.dta,332,vc21a11b,JOB 2 REASONS - GOOD LOCATION,dbl
21y,bcs21yearsample.dta,333,vc21a12b,JOB 2 REASONS - JUST NEEDED JOB,dbl
21y,bcs21yearsample.dta,334,vc21a13b,JOB 2 REASONS - OTHER,dbl
21y,bcs21yearsample.dta,335,vc21ba,JOB 1 MAIN REASON FOR TAKING JOB,dbl+lbl
21y,bcs21yearsample.dta,336,vc21bb,JOB 2 MAIN REASON FOR TAKING JOB,dbl+lbl
21y,bcs21yearsample.dta,337,vc22a,JOB 1 MOVE FOR JOB,dbl+lbl
21y,bcs21yearsample.dta,338,vc22b,JOB 2 MOVE FOR JOB,dbl+lbl
21y,bcs21yearsample.dta,339,vc23a,JOB 1 TYPE OF CONTRACT,dbl+lbl
21y,bcs21yearsample.dta,340,vc23b,JOB 2 TYPE OF CONTRACT,dbl+lbl
21y,bcs21yearsample.dta,341,vc24aa,JOB 1 TOTAL LENGTH OF CONTRACT (MONTHS),dbl+lbl
21y,bcs21yearsample.dta,342,vc24ab,JOB 2 TOTAL LENGTH OF CONTRACT (MONTHS),dbl+lbl
21y,bcs21yearsample.dta,343,vc24ba,JOB 1 RESIDUAL LENGTH OF CONTRACT (MONTHS),dbl+lbl
21y,bcs21yearsample.dta,344,vc24bb,JOB 2 RESIDUAL LENGTH OF CONTRACT (MONTHS),dbl+lbl
21y,bcs21yearsample.dta,345,vc25a,JOB 1 AVERAGE WEEK PAID HOURS,dbl+lbl
21y,bcs21yearsample.dta,346,vc25b,JOB 2 AVERAGE WEEK PAID HOURS,dbl+lbl
21y,bcs21yearsample.dta,347,vc26a,JOB 1 SEARCH FOR NEW JOB,dbl+lbl
21y,bcs21yearsample.dta,348,vc26b,JOB 2 SEARCH FOR NEW JOB,dbl+lbl
21y,bcs21yearsample.dta,349,vc27a,JOB 1 JOB SKILLS GAINED USEFUL?,dbl+lbl
21y,bcs21yearsample.dta,350,vc27b,JOB 2 JOB SKILLS GAINED USEFUL?,dbl+lbl
21y,bcs21yearsample.dta,351,vc28a,JOB 1 TRAINING COURSES LESS THAN 3 DAYS,dbl+lbl
21y,bcs21yearsample.dta,352,vc28b,JOB 2 TRAINING COURSES LESS THAN 3 DAYS,dbl+lbl
21y,bcs21yearsample.dta,353,vc291a,JOB 1 BASICS OF JOB,dbl
21y,bcs21yearsample.dta,354,vc292a,JOB 1 SKILLS USING HANDS,dbl
21y,bcs21yearsample.dta,355,vc293a,JOB 1 CREATIVITY,dbl
21y,bcs21yearsample.dta,356,vc294a,JOB 1 MAKING DECISIONS,dbl
21y,bcs21yearsample.dta,357,vc295a,JOB 1 COMMUNICATING WITH OTHER PEOPLE,dbl
21y,bcs21yearsample.dta,358,vc296a,JOB 1 MANAGING OTHER PEOPLE,dbl
21y,bcs21yearsample.dta,359,vc297a,JOB 1 TIME MANAGEMENT,dbl
21y,bcs21yearsample.dta,360,vc298a,JOB 1 TECHNICAL SKILLS,dbl
21y,bcs21yearsample.dta,361,vc299a,JOB 1 WORKING WITH NUMBERS NON SPEC,dbl
21y,bcs21yearsample.dta,362,vc2910a,JOB 1 WORKING WITH NUMBERS SPECIALISED,dbl
21y,bcs21yearsample.dta,363,vc2911a,JOB 1 GENERAL READING OR WRITING,dbl
21y,bcs21yearsample.dta,364,vc2912a,JOB 1 SPECIALISED WRITING,dbl
21y,bcs21yearsample.dta,365,vc2913a,JOB 1 OTHER,dbl
21y,bcs21yearsample.dta,366,vc291b,JOB 2 BASICS OF JOB,dbl
21y,bcs21yearsample.dta,367,vc292b,JOB 2 SKILLS USING HANDS,dbl
21y,bcs21yearsample.dta,368,vc293b,JOB 2 CREATIVITY,dbl
21y,bcs21yearsample.dta,369,vc294b,JOB 2 MAKING DECISIONS,dbl
21y,bcs21yearsample.dta,370,vc295b,JOB 2 COMMUNICATING WITH OTHER PEOPLE,dbl
21y,bcs21yearsample.dta,371,vc296b,JOB 2 MANAGING OTHER PEOPLE,dbl
21y,bcs21yearsample.dta,372,vc297b,JOB 2 TIME MANAGEMENT,dbl
21y,bcs21yearsample.dta,373,vc298b,JOB 2 TECHNICAL SKILLS,dbl
21y,bcs21yearsample.dta,374,vc299b,JOB 2 WORKING WITH NUMBERS NON SPEC,dbl
21y,bcs21yearsample.dta,375,vc2910b,JOB 2 WORKING WITH NUMBERS SPECIALISED,dbl
21y,bcs21yearsample.dta,376,vc2911b,JOB 2 GENERAL READING OR WRITING,dbl
21y,bcs21yearsample.dta,377,vc2912b,JOB 2 SPECIALISED WRITING,dbl
21y,bcs21yearsample.dta,378,vc2913b,JOB 2 OTHER,dbl
21y,bcs21yearsample.dta,379,vc30a,JOB 1 YOUR JOB AS PART OF YOUR CAREER?,dbl+lbl
21y,bcs21yearsample.dta,380,vc30b,JOB 2 YOUR JOB AS PART OF YOUR CAREER?,dbl+lbl
21y,bcs21yearsample.dta,381,vc31a,JOB NUMBER ASKING ABOUT,dbl+lbl
21y,bcs21yearsample.dta,382,vc31,PROMOTION IN THIS JOB,dbl+lbl
21y,bcs21yearsample.dta,383,vc32,NUMBER OF TIMES PROMOTED,dbl+lbl
21y,bcs21yearsample.dta,384,vc34a,MINIMUM QUALIFICATIONS REQUIRED,dbl+lbl
21y,bcs21yearsample.dta,385,vc34ba,EXPERIENCE HELPED GET ME JOB,dbl
21y,bcs21yearsample.dta,386,vc34bb,CONTACTS HELPED ME GET JOB,dbl
21y,bcs21yearsample.dta,387,vc34bc,OTHER QUALIFICATIONS HELPED ME GET JOB,dbl
21y,bcs21yearsample.dta,388,vc34bd,SPECIFIC SKILLS HELPED ME GET JOB,dbl
21y,bcs21yearsample.dta,389,vc34be,SOMETHING ELSE HELPED ME GET JOB,dbl
21y,bcs21yearsample.dta,390,vc34bf,DON'T KNOW WHAT HELPED ME GET JOB,dbl
21y,bcs21yearsample.dta,391,vc36,"NATURE OF EMPLOYMENT",dbl+lbl
21y,bcs21yearsample.dta,392,vc37,EMPLOYMENT OF OTHERS,dbl+lbl
21y,bcs21yearsample.dta,393,vc38,TYPE OF ORGANISATION,dbl+lbl
21y,bcs21yearsample.dta,394,vc39,BRANCH OF LARGER ORGANISATION,dbl+lbl
21y,bcs21yearsample.dta,395,vc40,NUMBER OF EMPLOYEES,dbl+lbl
21y,bcs21yearsample.dta,396,vc41a,MANAGEMENT RESPONSIBILITIES,dbl+lbl
21y,bcs21yearsample.dta,397,vc41b,NUMBER OF PEOPLE NORMALLY SUPERVISED,dbl+lbl
21y,bcs21yearsample.dta,398,vc42,FIRM BELONGING TO FAMILY,dbl+lbl
21y,bcs21yearsample.dta,399,vc43,REGULAR INCOME,dbl+lbl
21y,bcs21yearsample.dta,400,vc44a1,EASY TO TRAVEL TO,dbl
21y,bcs21yearsample.dta,401,vc44a2,PROMOTION,dbl
21y,bcs21yearsample.dta,402,vc44a3,GOOD CAREER PROSPECTS,dbl
21y,bcs21yearsample.dta,403,vc44a4,WELL PAID,dbl
21y,bcs21yearsample.dta,404,vc44a5,INTERESTING WORK,dbl
21y,bcs21yearsample.dta,405,vc44a6,GOOD EMPLOYMENT CONDITIONS,dbl
21y,bcs21yearsample.dta,406,vc44a7,CRECHE,dbl
21y,bcs21yearsample.dta,407,vc44a8,EASY OPTION,dbl
21y,bcs21yearsample.dta,408,vc44a9,MOVED TO AREA FOR ANOTHER REASON,dbl
